title,advancedGenre
PH-QWER .mp3,"[0.0004516489807429025, 0.0006138149037724361, 0.00037353190637077203, 0.6000097334384918, 0.0002665263524249895, 0.005886625219136477, 0.0005260956011625239, 0.002705813663487788, 0.0006806419405620545, 0.0032933048234554006, 0.00025911890261340884, 0.0006428696498915088, 0.0007738391537714051, 0.0007641677864739904, 0.04855655822902918, 0.004501564492238685, 0.0015933499060338363, 0.04232550039887428, 0.008298753458075226, 0.0006308805524895434, 0.0009410955244675279, 0.0023439312499249354, 0.0019443479890469463]"
Midnight Sway.mp3,"[0.04510887625760266, 0.15403136471286416, 0.004616475356410125, 0.005225070153496095, 0.00220975442789495, 0.018742632919124196, 0.0029043315527295427, 0.07226968915866953, 0.003230248989504097, 0.011885216160278236, 0.001752747397404164, 0.018585647556132505, 0.005044048843306622, 0.0009143935146442216, 0.04552436327295644, 0.03855290164106658, 0.009339913177037877, 0.11006537904696805, 0.012018910077001368, 0.004327423650205934, 0.012428555903690202, 0.03730968086581145, 0.0013674531344024996]"
Cozy Dreams.mp3,"[0.027473336551338434, 0.13539066331254113, 0.013435811994390355, 0.029917525127530098, 0.09027265643493997, 0.03219959636529287, 0.008939723173777262, 0.02674174660609828, 0.017747464848475322, 0.008922768291085958, 0.004837335203774273, 0.0412532270161642, 0.011459174514230754, 0.020409396306301158, 0.056154835555288524, 0.014468338754442003, 0.014675400944219695, 0.02363484042386214, 0.07763904188242224, 0.03320517328878244, 0.04463272127840254, 0.21375648511780632, 0.0033776807443549237]"
Latin_Dancing in the Moonlight.mp3,"[0.2050701000473716, 0.004304435188797387, 0.009389769031920216, 0.0018011907073245807, 0.001635538392954252, 0.03162896865978837, 0.0016239555975930257, 0.004209042018787427, 0.0016701814707961273, 0.004821672887456688, 0.0012326901672746647, 0.049399877305735244, 0.5407370654019442, 0.0002452923928847833, 0.1590104340152307, 0.0050774750892411576, 0.004253924464468251, 0.001730519309851595, 0.03266748108647086, 0.00522779826794497, 0.00031167374982032925, 0.006434363567016341, 0.00028012674804565245]"
FolkCountry_By the Firelight.mp3,"[0.002481743725101379, 0.0007325867250487631, 0.0024238835559861564, 0.0021990483986552467, 0.009944514784199948, 0.18027018806473774, 0.0010142830221659758, 0.0001224273222429805, 0.7659857083450664, 0.00041534543693573636, 0.0001456904842184899, 0.01607419169423255, 0.001686498726485297, 7.022578831145603e-05, 0.025262657976285977, 0.00016819879767188633, 0.0013915278012229298, 0.0003180124397410757, 0.010526505044915459, 0.005693397939797829, 0.00027825062782292, 0.005588464380707592, 0.00013427456906356383]"
Pretty Bear.mp3,"[0.014952628873288631, 0.0582524004081885, 0.011824706258873144, 0.011287920797864595, 0.013163902796804905, 0.028912868971625965, 0.016062175544599693, 0.02396135963499546, 0.006373198237270117, 0.005055520373086135, 0.0047414313691357774, 0.028919588153560955, 0.0033722422861804566, 0.07473153993487358, 0.025692418217658997, 0.009094723189870516, 0.008239600652207931, 0.008161840184281269, 0.054126509775718055, 0.023928873240947723, 0.007464549814661344, 0.5842305024464926, 0.007147436961531639]"
Disco_Dance All Night.mp3,"[0.0891497963323043, 0.02356778783723712, 0.027349743490608838, 0.0591860874914206, 0.007168059702962637, 0.03993401977305229, 0.007578019151249184, 0.2614011403459769, 0.005679409440535192, 0.0515363050911289, 0.005272380837525886, 0.043183124355541974, 0.0065140318877708455, 0.00238200667529152, 0.13178059401420447, 0.07371248620060775, 0.025183752895547792, 0.14955754277224725, 0.03303188271820545, 0.015339749292112313, 0.0046677416674076365, 0.13690416959042734, 0.0050787342300352]"
JH-Autumn Leaves.mp3,"[0.0528656505048275, 0.016771117773126152, 0.01246051917619565, 0.002628616906483384, 0.011283586650867672, 0.01970384193255621, 0.02491325945319498, 0.0026847956229603905, 0.004986864672151997, 0.06827313781661146, 0.00173911070177222, 0.8110156374819139, 0.04728714782087242, 0.00044085812046165196, 0.0176708120304872, 0.0016567109748447204, 0.007374431664014564, 0.01129546802600517, 0.014264101655605961, 0.034011946169330794, 0.004706097944803974, 0.0595363628338365, 0.0015307043521555468]"
Rising Dawn.mp3,"[0.018456363817676902, 0.07055551465600729, 0.013233054894953966, 0.01114089647307992, 0.010140043625142425, 0.018818943994119763, 0.009379768336657435, 0.059890931472182274, 0.003755389065190684, 0.008860180765623227, 0.006284424336627126, 0.017285643611103296, 0.003108190794591792, 0.04252860008273274, 0.025671871611848474, 0.01004300283966586, 0.007291234767762944, 0.012795862159691751, 0.03786277421750128, 0.015591217670589685, 0.01429401885252446, 0.48135388642549515, 0.007600182085298002]"
Slay.mp3,"[0.017314799673234422, 0.0002909279515329723, 0.0060524736246508025, 0.008905146710781587, 0.0018892733173237906, 0.0064837641548365355, 0.0008862366667017341, 0.011613672909637293, 0.003201443669644909, 0.21122029133968884, 0.010734568906223608, 0.004362240381952789, 0.0016482714692958528, 0.0002763232029489397, 0.11773650927676095, 0.21985875152879292, 0.019901949136207502, 0.43438633862468934, 0.008062299819559686, 0.0009296215252510996, 0.0007387537827728213, 0.001786356985879441, 0.0019476604906635152]"
